freq,class,sub_class,name,alias
142,FARM,NA,Dogger Bank,Dogger Bank
129,FARM,NA,Westermost Rough,Westermost Rough
126,FARM,NA,Burbo Bank Extension,Burbo Bank Extension
109,FARM,NA,BOWL,BOWL|588MW Beatrice
97,FARM,NA,Veja Mate,Veja Mate
94,FARM,NA,Global Tech,Global Tech
78,FARM,NA,Humber Gateway,Humber Gateway
71,FARM,NA,Deutsche Bucht,Deutsche Bucht
66,FARM,NA,Nordsee Ost,Nordsee Ost
53,FARM,NA,Project One,Project One
1478,GOV,NA,European,European
1475,GOV,NA,EU,EU|European Union
1455,GOV,NA,EC,EC|European Commission
368,GOV,NA,DOE,DOE|Department of Energy
347,GOV,NA,BOEM,BOEM|Bureau of Ocean Energy Management
156,GOV,NA,EIA,EIA|Environmental Impact Assessment
155,GOV,NA,OFTO,OFTO
97,GOV,NA,Economic Affairs,Economic Affairs
95,GOV,NA,US.DOE,US.DOE|U.S. Department of Energy|US Department of Energy
95,GOV,NA,NREL,NREL|National Renewable Energy Laboratory
89,GOV,NA,MCA,MCA
57,GOV,NA,Energy Project,Energy Project
55,GOV,NA,EEZ,EEZ
54,GOV,NA,Marine Scotland,Marine Scotland
36,GOV,NA,European Regional Development Fund,European Regional Development Fund
28,GOV,NA,Danish Energy Agency,Danish Energy Agency
24,GOV,NA,FEED,FEED
23,GOV,NA,Federal Network Agency,Federal Network Agency
21,GOV,NA,Marine Management Organisation,Marine Management Organisation
20,GOV,NA,National Energy Agreement,National Energy Agreement
11414,KWORD,NA,turbine,turbine|Turbine
6638,KWORD,NA,system,system|System
5612,KWORD,NA,cable,cable|Cable|cable laying|Cable Laying
4775,KWORD,NA,installation,installation|Installation
4490,KWORD,NA,technology,technology|Technology
3462,KWORD,NA,grid,grid|Grid
2761,KWORD,NA,foundation,foundation|Foundation
1589,KWORD,NA,blade,blade|Blade
1574,KWORD,NA,testing,testing|Testing
1453,KWORD,NA,training,training|Training
1397,KWORD,NA,survey,survey|Survey
1104,KWORD,NA,monitor,monitor|Monitor
854,KWORD,NA,seabed,seabed|Seabed|(S|s)ea bed
780,KWORD,NA,O&M,O&M|(O|o)peration (and|&) (M|m)aintenance
748,KWORD,NA,maritime,maritime|Maritime
745,KWORD,NA,jacket,jacket|Jacket
700,KWORD,NA,monopile,monopile|Monopile|mono pile|Mono pile
632,KWORD,NA,inspection,inspection|Inspection
612,KWORD,NA,protection,protection|Protection
472,KWORD,NA,CTV,CTV|(C|c)rew (T|t)ransfer (V|v)essel
417,KWORD,NA,underwater,underwater|Underwater|(U|u)nder water
414,KWORD,NA,ROV,ROV|AUV
378,KWORD,NA,SOV,SOV|(S|s)ervice (O|o)peration (V|v)essel
128,ORG,NA,GWO,GWO|Global Wind Organizarion
120,KWORD,NA,corrosion,corrosion|Corrosion
103,KWORD,NA,drone,drone|Drone
92,KWORD,NA,sonar,sonar|Sonar
574,ORG,NA,DNV,DNV|DNV GL|DNV GL.|DNV GL Energy
354,ORG,NA,ORE Catapult,ORE Catapult|Offshore Renewable Energy Catapult
238,ORG,NA,EMEC,EMEC|European Marine Energy Centre
185,ORG,NA,EWEA,EWEA|European Wind Energy Association
141,ORG,NA,EOWDC,EOWDC|European Offshore Wind Deployment Centre
106,ORG,NA,Energy Association,Energy Association
97,COM,Others,Wave Hub,Wave Hub
89,COM,Others,Aquamarine Power,Aquamarine Power
85,ORG,NA,IEA,IEA|International Energy Agency
62,ORG,NA,NAREC,NAREC|National Renewable Energy Centre
62,ORG,NA,GWEC,GWEC|Global Wind Energy Council
58,ORG,NA,U.Maine,U.Maine|University of Maine
55,ORG,NA,MHK,MHK
47,ORG,NA,LEP,LEP|Local Enterprise Partnership
38,ORG,NA,U.Strathclyde,U.Strathclyde|University of Strathclyde
33,ORG,NA,U.Hull,U.Hull|University of Hull
33,ORG,NA,EPSRC,EPSRC|Physical Sciences Research Council
32,ORG,NA,U.Exeter,U.Exeter|University of Exeter
31,ORG,NA,U.Edinburgh,U.Edinburgh|University of Edinburgh
30,ORG,NA,Pike Research,Pike Research
28,ORG,NA,Wave Energy Scotland,Wave Energy Scotland
23,ORG,NA,Marine Institute,Marine Institute
21,ORG,NA,Navigant Research,Navigant Research
19,ORG,NA,Norstec Academy,Norstec Academy
5992,TERM,NA,Energy,Energy
5284,TERM,NA,MW,MW
1898,TERM,NA,Marine,Marine
1639,TERM,NA,Tech,Tech
1335,TERM,NA,GW,GW
778,TERM,NA,Research,Research
716,TERM,NA,Wind Farm,Wind Farm
654,TERM,NA,HVDC,HVDC
628,TERM,NA,AC,AC
535,TERM,NA,DP,DP|Dynamic Positioning
216,TERM,NA,OWA,OWA|Offshore Wind Accelerator
165,TERM,NA,MRE,MRE
155,TERM,NA,CETO,CETO
154,TERM,NA,Wave Energy,Wave Energy
118,TERM,NA,Offshore Renewable Energy,Offshore Renewable Energy
118,TERM,NA,IEC,IEC
118,TERM,NA,HVAC,HVAC
110,TERM,NA,Pelamis,Pelamis
74,TERM,NA,Oil & Gas,Oil & Gas
63,TERM,NA,OTEC,OTEC
63,TERM,NA,EPCI,EPCI
61,TERM,NA,Wave Power,Wave Power
59,TERM,NA,Continental Shelf,Continental Shelf
42,TERM,NA,Cable Enterprise,Cable Enterprise
40,TERM,NA,GE Haliade,GE Haliade
34,TERM,NA,Borssele Beta,Borssele Beta
32,TERM,NA,Marine Current Turbines,Marine Current Turbines
26,TERM,NA,Marine Engineering,Marine Engineering
18,TERM,NA,Siemens Offshore Transformer Modules,Siemens Offshore Transformer Modules
18,TERM,NA,GE Power Conversion,GE Power Conversion
