"word","tfidf"
"_",5.19899361708727
"l-3",2.80840587733318
"Enerpac",2.32927589276726
"APQP4Wind",2.32266159217539
"Tideland",2.29433884725467
"AVEVA",2.09320514581015
"OOS",1.99609513283102
"Hertel",1.94063270265619
"AMBAU",1.78677850703563
"Avanti",1.77748714044167
"OutSmart",1.7408549651446
"Chartwell",1.67660972807546
"Jee",1.64557347609614
"Aubin",1.61656561885084
"SeaEnergy",1.57293805610043
"=",1.5725995710436
"Ricardo",1.55782934467506
"BASF",1.53488896449859
"GLS",1.5236495984892
"GCube",1.50855727554097
"Guernsey",1.49018293498098
"TekTube",1.48575521195341
"FoundOcean",1.48541201869258
"FusionDrive",1.48042305406808
"Protean",1.47939205489257
"WSP",1.46703188404351
"TAG_Energy_Solutions",1.46076750920842
"Red7Marine",1.45851027070397
"·",1.44746810504985
"PLAT",1.44359862326417
"Granada",1.44313884368372
"DW",1.3829911868114
"Anbaric",1.37762684132173
"Leyland",1.36210532141188
"Oceanteam",1.36049164923217
"SeaZip",1.34828122977342
"SKF",1.32486055838397
"PCOD",1.32251722779985
"Austal",1.32080383491392
"FOSG",1.29787979381589
"SeaTwirl",1.2931186529078
"NorSea",1.29016152707366
"Moog",1.27446313270121
"Senergy",1.27042372953261
"Polenergia",1.26682831226527
"Aqualis",1.26591024068588
"Shipbrokers",1.25961141556649
"CPNL",1.24614532072065
"WES",1.24252973398543
"Nutec",1.24140999503271
"Windreich",1.24048434971414
"NHV",1.23969698698844
"BMO",1.23735847461997
"K2",1.21662148584335
"MaXccess",1.20660716540642
"LEANWIND",1.18007729065569
"Romax",1.17261420509727
"Moventas",1.17042319412324
"Atlas",1.16880201055557
"RFI",1.14683476192849
"Dalby",1.14384796499656
"Schaeffler",1.13760193289051
"ZITON",1.13692941208644
"Whitby",1.13592949755699
"Aibel",1.13264569181911
"Yang",1.13157797305132
"OMS",1.12537507949196
"yoke",1.12034907506819
"Mainprize",1.11940957174211
"JBA",1.11196626003018
"TRIAXYS",1.10816662644075
"Tocardo",1.10776788932776
"SeaPlanner",1.10212159561666
"Falck",1.09253832286758
"Rix",1.08961381712861
"Dickson",1.08590327225503
"Alewijnse",1.08386454885594
"Converteam",1.08325966985912
"Bluestream",1.0813169886806
"Ingeteam",1.08075431338147
"HiDef",1.07944772015509
"Ecofys",1.07908915635932
"north_seas",1.07457722136352
"Javelin",1.06413995258852
"TEPCO",1.0610912407456
"Hage",1.0564436272139
"Stonehenge",1.05556433415304
"Iceni",1.04547352582541
"Trelleborg",1.04030215858619
"Intertek",1.0375682512582
"CTruk",1.03633578951915
"Wärtsilä",1.03388509855204
"Holographic",1.02861613084977
"NIRAS",1.02549341041165
"NGI",1.02177083203608
"Prodect",1.01856390327786
"Hexicon",1.01083077006267
"Lock",1.01032069236738
"*",1.00525263153141
"WaveSub",1.00409460824125
"SSEN",0.998042647380772
"Malta",0.993199454539162
"ZTT",0.99247915585963
"Boom",0.992443651478449
"Seacat",0.986305645824053
"CWind",0.980996306053995
"GDG",0.97513921339089
"OWS",0.966294586830139
"NWFTC",0.965047874778097
"Sinovel",0.961129392074192
"Michigan",0.954957074665826
"N",0.954435080378568
"Minesto",0.950737687565379
"Jumbo",0.946824058284094
"FloWave",0.943260415611651
"SgurrEnergy",0.941996129336837
"NNMREC",0.937370017453193
"Switch",0.93464099861441
"Sunderland",0.933440487695934
"Umoe",0.932126155768031
"Windcat",0.927377016311797
"ABPmer",0.922571113912947
"Ming",0.921796700620086
"MEA",0.921413720570794
"Tekmar",0.915942701547189
"Narec",0.915898146820348
"Newhaven",0.915202156512402
"Ardersier",0.913784525885214
"Goldwind",0.911942916557595
"Wiking",0.911678191237784
"Georgia",0.909997576130403
"Ro",0.908020160105778
"Longyuan",0.904898448882091
"…",0.903589256613141
"Eidesvik",0.903569068816865
"hr_wallingford",0.902596113156541
"Osiris",0.900054454934336
"Ziton",0.8972150621633
"Jeju",0.896238806576921
"safety_technology",0.895570821414146
"Echoscope",0.894696244805444
"SOF",0.893768699701624
"Strainstall",0.888051329669527
"DHSS",0.88779527009423
"ESVAGT",0.884905104327375
"Westermeerwind",0.884404737210112
"MacArtney",0.882021564673148
"Manor",0.880471739331574
"•",0.879620021980532
"Xodus",0.879221519041266
"IDEOL",0.877683611817809
"Trident",0.87639910577358
"hydro_group",0.876318197260179
"LEEDCo",0.874768827955253
"Traq",0.873964208310861
"Man",0.871625057323037
"MPS",0.871578586493038
"Aveillant",0.868614912318533
"WaveRoller",0.868363488502624
"DeltaStream",0.863984611179778
"NOF_Energy",0.861605748945072
"UMaine",0.86072011326336
"GMG",0.859632901390012
"seatwirl",0.858258859853753
"Duke",0.856840415034507
"TÜV",0.855732383927568
"SÜD",0.855382678943583
"Oceanlinx",0.855292109414037
"GWS",0.852591611373873
"OHT",0.848344231605313
"Supergrid",0.847011118640678
"lagoon",0.84451082335963
"Fallon",0.843620742574264
"superconducte",0.843521910386302
"Zhenhua",0.838269608300873
"Havyard",0.835483694029665
"offshoreenergy.dk",0.833456503147395
"Penguin",0.833354854933578
"sphere",0.833333078503003
"AW",0.833066951073736
"Winergy",0.830384725449437
"Swan",0.829864508037457
"Canyon",0.829437882220708
"REpower",0.829399092617376
"PCS",0.829030793810147
"TAS",0.828971382999844
"Vos",0.827314649567148
"Glosten",0.826896348325682
"G128",0.826604595198427
"Njord",0.826249682380238
"Nautricity",0.825119983497176
"directory",0.817634861177838
"Højgaard",0.817540184695261
"Dounreay",0.816548559067774
"Arklow",0.815189844004634
"BLUE",0.813963297735829
