Source,Weight,Target,Type
safety_training,106,training,Undirected
sector,80,training,Undirected
service,73,training,Undirected
Siemens,50,training,Undirected
skill,133,training,Undirected
standard,85,training,Undirected
system,43,training,Undirected
team,41,training,Undirected
technician,86,training,Undirected
time,46,training,Undirected
tower,48,training,Undirected
training,1161,training,Undirected
Training,152,training,Undirected
training_centre,63,training,Undirected
training_course,69,training,Undirected
UK,74,training,Undirected
vessel,46,training,Undirected
wind,53,training,Undirected
wind_turbine,76,training,Undirected
work,44,training,Undirected
year,92,training,Undirected
