Source,Weight,Target,Type
blade,1137,blade,Undirected
Blade,77,blade,Undirected
blade_inspection,42,blade,Undirected
company,108,blade,Undirected
component,78,blade,Undirected
cost,69,blade,Undirected
design,146,blade,Undirected
development,84,blade,Undirected
facility,75,blade,Undirected
generator,54,blade,Undirected
hub,43,blade,Undirected
industry,53,blade,Undirected
inspection,47,blade,Undirected
installation,56,blade,Undirected
length,51,blade,Undirected
LM_Wind_Power,52,blade,Undirected
load,64,blade,Undirected
m,71,blade,Undirected
maintenance,50,blade,Undirected
manufacturer,44,blade,Undirected
manufacturing,65,blade,Undirected
market,62,blade,Undirected
material,64,blade,Undirected
meter,41,blade,Undirected
nacelle,91,blade,Undirected
operation,45,blade,Undirected
performance,43,blade,Undirected
power,41,blade,Undirected
process,44,blade,Undirected
production,71,blade,Undirected
project,143,blade,Undirected
repair,54,blade,Undirected
research,47,blade,Undirected
rotor,57,blade,Undirected
rotor_blade,257,blade,Undirected
service,48,blade,Undirected
Siemens,50,blade,Undirected
site,46,blade,Undirected
solution,49,blade,Undirected
structure,47,blade,Undirected
system,88,blade,Undirected
technology,111,blade,Undirected
test,70,blade,Undirected
testing,88,blade,Undirected
time,51,blade,Undirected
tower,121,blade,Undirected
turbine,259,blade,Undirected
turbine_blade,61,blade,Undirected
UK,63,blade,Undirected
wind,110,blade,Undirected
wind_farm,44,blade,Undirected
wind_turbine,220,blade,Undirected
wind_turbine_blades,70,blade,Undirected
year,59,blade,Undirected
cable,81,monitor,Undirected
company,60,monitor,Undirected
condition,56,monitor,Undirected
condition_monitoring,51,monitor,Undirected
construction,67,monitor,Undirected
control,67,monitor,Undirected
datum,118,monitor,Undirected
design,51,monitor,Undirected
development,80,monitor,Undirected
device,47,monitor,Undirected
inspection,46,monitor,Undirected
installation,47,monitor,Undirected
maintenance,69,monitor,Undirected
management,55,monitor,Undirected
monitoring,522,monitor,Undirected
Monitoring,79,monitor,Undirected
offshore_wind,41,monitor,Undirected
operation,79,monitor,Undirected
performance,58,monitor,Undirected
platform,51,monitor,Undirected
project,185,monitor,Undirected
sensor,59,monitor,Undirected
service,73,monitor,Undirected
site,60,monitor,Undirected
solution,62,monitor,Undirected
survey,52,monitor,Undirected
system,217,monitor,Undirected
technology,93,monitor,Undirected
turbine,71,monitor,Undirected
vessel,70,monitor,Undirected
wind_farm,79,monitor,Undirected
wind_turbine,70,monitor,Undirected
work,42,monitor,Undirected
activity,48,survey,Undirected
area,111,survey,Undirected
cable,108,survey,Undirected
cable_route,55,survey,Undirected
company,117,survey,Undirected
construction,59,survey,Undirected
contract,57,survey,Undirected
datum,123,survey,Undirected
development,91,survey,Undirected
engineering,43,survey,Undirected
equipment,59,survey,Undirected
geophysical_survey,59,survey,Undirected
industry,55,survey,Undirected
inspection,48,survey,Undirected
installation,82,survey,Undirected
location,48,survey,Undirected
Marine,45,survey,Undirected
offshore_wind,71,survey,Undirected
offshore_wind_farm,48,survey,Undirected
operation,80,survey,Undirected
project,202,survey,Undirected
route,49,survey,Undirected
ROV,54,survey,Undirected
seabed,85,survey,Undirected
service,106,survey,Undirected
site,136,survey,Undirected
study,41,survey,Undirected
support,77,survey,Undirected
survey,1163,survey,Undirected
Survey,78,survey,Undirected
system,86,survey,Undirected
team,46,survey,Undirected
UK,45,survey,Undirected
UXO,57,survey,Undirected
vessel,226,survey,Undirected
wind_farm,68,survey,Undirected
work,160,survey,Undirected
year,82,survey,Undirected
blade,100,testing,Undirected
cable,95,testing,Undirected
capability,41,testing,Undirected
certification,44,testing,Undirected
company,91,testing,Undirected
component,85,testing,Undirected
condition,53,testing,Undirected
construction,58,testing,Undirected
datum,41,testing,Undirected
demonstration,59,testing,Undirected
deployment,46,testing,Undirected
design,154,testing,Undirected
developer,42,testing,Undirected
development,158,testing,Undirected
device,98,testing,Undirected
energy,41,testing,Undirected
engineering,48,testing,Undirected
equipment,49,testing,Undirected
facility,161,testing,Undirected
industry,68,testing,Undirected
installation,121,testing,Undirected
laboratory,55,testing,Undirected
model,49,testing,Undirected
offshore_wind,45,testing,Undirected
operation,48,testing,Undirected
performance,83,testing,Undirected
phase,58,testing,Undirected
power,66,testing,Undirected
process,46,testing,Undirected
programme,62,testing,Undirected
project,191,testing,Undirected
prototype,98,testing,Undirected
research,76,testing,Undirected
result,47,testing,Undirected
scale,52,testing,Undirected
service,72,testing,Undirected
site,93,testing,Undirected
system,169,testing,Undirected
technology,193,testing,Undirected
termination,69,testing,Undirected
test,139,testing,Undirected
testing,1347,testing,Undirected
Testing,81,testing,Undirected
time,47,testing,Undirected
turbine,137,testing,Undirected
UK,51,testing,Undirected
University,42,testing,Undirected
vessel,47,testing,Undirected
wave,51,testing,Undirected
wind_farm,46,testing,Undirected
wind_turbine,126,testing,Undirected
work,75,testing,Undirected
year,93,testing,Undirected
Academy,44,training,Undirected
centre,47,training,Undirected
Centre,45,training,Undirected
College,68,training,Undirected
company,115,training,Undirected
course,161,training,Undirected
development,98,training,Undirected
education,57,training,Undirected
experience,51,training,Undirected
facility,141,training,Undirected
Global_Wind_Organisation,115,training,Undirected
industry,211,training,Undirected
maersk_training,87,training,Undirected
managing_director,43,training,Undirected
need,55,training,Undirected
Newcastle,42,training,Undirected
offshore_wind,72,training,Undirected
operation,57,training,Undirected
opportunity,77,training,Undirected
people,43,training,Undirected
personnel,57,training,Undirected
programme,107,training,Undirected
project,84,training,Undirected
provider,57,training,Undirected
range,46,training,Undirected
safety,82,training,Undirected
