Source,Weight,Target,Type
AUV,36,auv,Undirected
cable,58,cable_laying,Undirected
cable_laying,108,cable_laying,Undirected
cable_laying_vessel,48,cable_laying,Undirected
installation,23,cable_laying,Undirected
operation,21,cable_laying,Undirected
project,31,cable_laying,Undirected
vessel,46,cable_laying,Undirected
work,26,cable_laying,Undirected
access,23,crew_transfer_vessels,Undirected
boat_landing,25,crew_transfer_vessels,Undirected
company,34,crew_transfer_vessels,Undirected
contract,29,crew_transfer_vessels,Undirected
crew,21,crew_transfer_vessels,Undirected
crew_transfer_vessel,37,crew_transfer_vessels,Undirected
crew_transfer_vessels,390,crew_transfer_vessels,Undirected
fleet,40,crew_transfer_vessels,Undirected
m,41,crew_transfer_vessels,Undirected
offshore_wind,32,crew_transfer_vessels,Undirected
offshore_wind_farm,26,crew_transfer_vessels,Undirected
operation,33,crew_transfer_vessels,Undirected
project,33,crew_transfer_vessels,Undirected
service,32,crew_transfer_vessels,Undirected
system,37,crew_transfer_vessels,Undirected
technician,31,crew_transfer_vessels,Undirected
time,23,crew_transfer_vessels,Undirected
transfer,24,crew_transfer_vessels,Undirected
vessel,133,crew_transfer_vessels,Undirected
wind_farm,32,crew_transfer_vessels,Undirected
work,26,crew_transfer_vessels,Undirected
year,30,crew_transfer_vessels,Undirected
drone,106,drone,Undirected
inspection,31,drone,Undirected
area,22,inspection,Undirected
asset,35,inspection,Undirected
blade,23,inspection,Undirected
blade_inspection,42,inspection,Undirected
cable,35,inspection,Undirected
certification,23,inspection,Undirected
company,72,inspection,Undirected
contract,40,inspection,Undirected
cost,24,inspection,Undirected
datum,26,inspection,Undirected
drone,33,inspection,Undirected
equipment,26,inspection,Undirected
foundation,25,inspection,Undirected
industry,28,inspection,Undirected
inspection,619,inspection,Undirected
Inspection,31,inspection,Undirected
installation,24,inspection,Undirected
maintenance,104,inspection,Undirected
monitoring,25,inspection,Undirected
offshore_wind_farm,29,inspection,Undirected
operation,39,inspection,Undirected
operator,22,inspection,Undirected
project,52,inspection,Undirected
repair,77,inspection,Undirected
ROV,36,inspection,Undirected
safety,27,inspection,Undirected
service,90,inspection,Undirected
site,21,inspection,Undirected
solution,32,inspection,Undirected
subsea,44,inspection,Undirected
survey,49,inspection,Undirected
system,61,inspection,Undirected
team,28,inspection,Undirected
technology,45,inspection,Undirected
time,25,inspection,Undirected
turbine,53,inspection,Undirected
UK,27,inspection,Undirected
vessel,49,inspection,Undirected
wind_farm,42,inspection,Undirected
wind_turbine,53,inspection,Undirected
work,60,inspection,Undirected
year,30,inspection,Undirected
barge,29,Jacket,Undirected
Beatrice,28,Jacket,Undirected
company,39,Jacket,Undirected
construction,44,Jacket,Undirected
contract,47,Jacket,Undirected
design,43,Jacket,Undirected
engineering,34,Jacket,Undirected
foundation,99,Jacket,Undirected
installation,114,Jacket,Undirected
jacket,427,Jacket,Undirected
Jacket,28,Jacket,Undirected
jacket_foundation,244,Jacket,Undirected
monopile,39,Jacket,Undirected
monopile_foundation,22,Jacket,Undirected
month,23,Jacket,Undirected
Offshore,25,Jacket,Undirected
offshore_substation,35,Jacket,Undirected
offshore_wind,21,Jacket,Undirected
offshore_wind_farm,59,Jacket,Undirected
Oleg_Strashnov,31,Jacket,Undirected
pile,83,Jacket,Undirected
platform,40,Jacket,Undirected
procurement,21,Jacket,Undirected
project,88,Jacket,Undirected
seabed,25,Jacket,Undirected
Siemens,29,Jacket,Undirected
site,85,Jacket,Undirected
steel,30,Jacket,Undirected
structure,59,Jacket,Undirected
substation,55,Jacket,Undirected
substructure,22,Jacket,Undirected
suction_bucket_jacket_foundation,24,Jacket,Undirected
tonne,23,Jacket,Undirected
topside,105,Jacket,Undirected
turbine,46,Jacket,Undirected
vessel,44,Jacket,Undirected
Vlissingen,31,Jacket,Undirected
wind_farm,66,Jacket,Undirected
wind_turbine,86,Jacket,Undirected
work,32,Jacket,Undirected
yard,29,Jacket,Undirected
activity,27,maritime,Undirected
area,23,maritime,Undirected
business,21,maritime,Undirected
College,21,maritime,Undirected
company,57,maritime,Undirected
construction,41,maritime,Undirected
contract,29,maritime,Undirected
design,32,maritime,Undirected
development,44,maritime,Undirected
EMS,24,maritime,Undirected
energy,25,maritime,Undirected
engineering,24,maritime,Undirected
experience,27,maritime,Undirected
expertise,22,maritime,Undirected
gas,23,maritime,Undirected
Group,24,maritime,Undirected
industry,111,maritime,Undirected
installation,23,maritime,Undirected
Kongsberg_Maritime,25,maritime,Undirected
Ltd,21,maritime,Undirected
Marine,24,maritime,Undirected
maritime,124,maritime,Undirected
Maritime,242,maritime,Undirected
Mojo_Maritime,33,maritime,Undirected
Offshore,39,maritime,Undirected
offshore_wind,61,maritime,Undirected
operation,46,maritime,Undirected
planning,21,maritime,Undirected
project,101,maritime,Undirected
research,24,maritime,Undirected
safety,28,maritime,Undirected
sea,28,maritime,Undirected
sector,67,maritime,Undirected
semco_maritime,23,maritime,Undirected
service,59,maritime,Undirected
ship,26,maritime,Undirected
site,22,maritime,Undirected
solution,30,maritime,Undirected
support,22,maritime,Undirected
system,51,maritime,Undirected
technology,39,maritime,Undirected
training,55,maritime,Undirected
transport,26,maritime,Undirected
University,29,maritime,Undirected
vessel,79,maritime,Undirected
wind_farm,29,maritime,Undirected
work,27,maritime,Undirected
year,38,maritime,Undirected
construction,32,operation_and_maintenance,Undirected
development,22,operation_and_maintenance,Undirected
installation,29,operation_and_maintenance,Undirected
operation_and_maintenance,139,operation_and_maintenance,Undirected
project,22,operation_and_maintenance,Undirected
service,26,operation_and_maintenance,Undirected
wind_farm,30,operation_and_maintenance,Undirected
area,26,protection,Undirected
cable,92,protection,Undirected
cable_protection,62,protection,Undirected
cable_protection_systems,45,protection,Undirected
company,60,protection,Undirected
construction,28,protection,Undirected
contract,22,protection,Undirected
control,32,protection,Undirected
corrosion_protection,26,protection,Undirected
cost,22,protection,Undirected
design,45,protection,Undirected
development,35,protection,Undirected
energy,24,protection,Undirected
Energy,22,protection,Undirected
environmental_protection,30,protection,Undirected
equipment,25,protection,Undirected
fire,27,protection,Undirected
foundation,53,protection,Undirected
inspection,23,protection,Undirected
installation,90,protection,Undirected
market,21,protection,Undirected
offshore_wind_farm,23,protection,Undirected
operation,21,protection,Undirected
power,30,protection,Undirected
process,22,protection,Undirected
product,22,protection,Undirected
project,90,protection,Undirected
protection,276,protection,Undirected
Protection,75,protection,Undirected
protection_system,21,protection,Undirected
safety,25,protection,Undirected
scour_protection,77,protection,Undirected
seabed,23,protection,Undirected
service,23,protection,Undirected
site,30,protection,Undirected
solution,30,protection,Undirected
supply,33,protection,Undirected
system,128,protection,Undirected
Tekmar,42,protection,Undirected
time,24,protection,Undirected
vessel,21,protection,Undirected
wind_farm,26,protection,Undirected
wind_turbine,29,protection,Undirected
work,49,protection,Undirected
area,41,seabed,Undirected
cable,125,seabed,Undirected
company,39,seabed,Undirected
condition,60,seabed,Undirected
construction,33,seabed,Undirected
crown_estate,32,seabed,Undirected
datum,38,seabed,Undirected
depth,29,seabed,Undirected
design,25,seabed,Undirected
developer,22,seabed,Undirected
development,42,seabed,Undirected
device,22,seabed,Undirected
energy,27,seabed,Undirected
foundation,112,seabed,Undirected
installation,70,seabed,Undirected
jacket,26,seabed,Undirected
leg,25,seabed,Undirected
location,27,seabed,Undirected
m,27,seabed,Undirected
material,22,seabed,Undirected
monopile,24,seabed,Undirected
offshore_wind,31,seabed,Undirected
operation,25,seabed,Undirected
pile,35,seabed,Undirected
platform,24,seabed,Undirected
project,77,seabed,Undirected
seabed,780,seabed,Undirected
Seabed,23,seabed,Undirected
service,22,seabed,Undirected
site,50,seabed,Undirected
solution,21,seabed,Undirected
structure,48,seabed,Undirected
subsea,21,seabed,Undirected
survey,75,seabed,Undirected
system,58,seabed,Undirected
technology,44,seabed,Undirected
test,26,seabed,Undirected
turbine,65,seabed,Undirected
UK,25,seabed,Undirected
vessel,47,seabed,Undirected
water,40,seabed,Undirected
wave,32,seabed,Undirected
wind_farm,39,seabed,Undirected
wind_turbine,37,seabed,Undirected
work,49,seabed,Undirected
year,26,seabed,Undirected
accommodation,27,service_operation_vessels,Undirected
company,30,service_operation_vessels,Undirected
contract,29,service_operation_vessels,Undirected
design,29,service_operation_vessels,Undirected
Esvagt,33,service_operation_vessels,Undirected
Havyard,23,service_operation_vessels,Undirected
maintenance,24,service_operation_vessels,Undirected
Offshore,23,service_operation_vessels,Undirected
offshore_wind,37,service_operation_vessels,Undirected
offshore_wind_farm,31,service_operation_vessels,Undirected
operation,52,service_operation_vessels,Undirected
project,31,service_operation_vessels,Undirected
service,58,service_operation_vessels,Undirected
service_operation,24,service_operation_vessels,Undirected
service_operation_vessel,30,service_operation_vessels,Undirected
service_operation_vessels,297,service_operation_vessels,Undirected
Siemens,24,service_operation_vessels,Undirected
system,28,service_operation_vessels,Undirected
technician,23,service_operation_vessels,Undirected
vessel,145,service_operation_vessels,Undirected
wind_farm,40,service_operation_vessels,Undirected
sonar,65,sonar,Undirected
survey,24,sonar,Undirected
system,24,sonar,Undirected
cable,41,underwater,Undirected
company,32,underwater,Undirected
installation,22,underwater,Undirected
operation,22,underwater,Undirected
power,28,underwater,Undirected
project,38,underwater,Undirected
structure,22,underwater,Undirected
system,51,underwater,Undirected
technology,21,underwater,Undirected
turbine,24,underwater,Undirected
Underwater,43,underwater,Undirected
underwater_noise,45,underwater,Undirected
vehicle,30,underwater,Undirected
