Source,Weight,Target,Type
’,104,cable,Undirected
ABB,116,cable,Undirected
AC,95,cable,Undirected
activity,82,cable,Undirected
addition,93,cable,Undirected
area,171,cable,Undirected
array_cable,89,cable,Undirected
barge,71,cable,Undirected
burial,104,cable,Undirected
business,72,cable,Undirected
cable,3520,cable,Undirected
Cable,192,cable,Undirected
cable_installation,213,cable,Undirected
cable_laying,108,cable,Undirected
cable_route,189,cable,Undirected
Cables,93,cable,Undirected
capability,88,cable,Undirected
capacity,130,cable,Undirected
coast,84,cable,Undirected
company,374,cable,Undirected
connection,255,cable,Undirected
construction,221,cable,Undirected
contract,318,cable,Undirected
contractor,72,cable,Undirected
converter_station,87,cable,Undirected
cost,103,cable,Undirected
datum,75,cable,Undirected
delivery,92,cable,Undirected
depth,77,cable,Undirected
design,245,cable,Undirected
development,183,cable,Undirected
electricity,161,cable,Undirected
end,123,cable,Undirected
energy,139,cable,Undirected
engineering,144,cable,Undirected
equipment,144,cable,Undirected
export_cable,328,cable,Undirected
facility,96,cable,Undirected
foundation,198,cable,Undirected
Germany,90,cable,Undirected
grid,190,cable,Undirected
Group,99,cable,Undirected
high_voltage,96,cable,Undirected
highvoltage,79,cable,Undirected
hvac,72,cable,Undirected
HVDC,149,cable,Undirected
industry,178,cable,Undirected
installation,755,cable,Undirected
interarray_cable,182,cable,Undirected
interconnector,82,cable,Undirected
JDR,110,cable,Undirected
kilometer,74,cable,Undirected
kilometre,130,cable,Undirected
km,354,cable,Undirected
kv,104,cable,Undirected
land,179,cable,Undirected
landfall,97,cable,Undirected
length,128,cable,Undirected
link,101,cable,Undirected
location,90,cable,Undirected
maintenance,91,cable,Undirected
market,228,cable,Undirected
Nexans,168,cable,Undirected
North_Sea,71,cable,Undirected
Offshore,96,cable,Undirected
offshore_substation,131,cable,Undirected
offshore_wind,167,cable,Undirected
offshore_wind_farm,314,cable,Undirected
offshore_wind_farms,123,cable,Undirected
onshore_substation,107,cable,Undirected
operation,228,cable,Undirected
order,96,cable,Undirected
platform,179,cable,Undirected
point,82,cable,Undirected
power,376,cable,Undirected
power_cable,96,cable,Undirected
product,84,cable,Undirected
production,85,cable,Undirected
project,881,cable,Undirected
Prysmian,102,cable,Undirected
range,75,cable,Undirected
repair,95,cable,Undirected
risk,94,cable,Undirected
route,168,cable,Undirected
scope,103,cable,Undirected
sea,97,cable,Undirected
seabed,159,cable,Undirected
section,118,cable,Undirected
sector,75,cable,Undirected
service,207,cable,Undirected
shore,115,cable,Undirected
site,225,cable,Undirected
