"","tfidf","key","freq","freq_pct"
"1",5.19899361708727,"_",853,0.0269098076627018
"2",1.14384796499656,"Dalby",147,0.00463744633812094
"3",1.10212159561666,"SeaPlanner",113,0.00356483970209297
"4",1.04547352582541,"Iceni",144,0.00454280457611848
"5",1.00525263153141,"*",261,0.00823383329421474
"6",0.986305645824053,"Seacat",143,0.00451125732211765
"7",0.980996306053995,"CWind",297,0.00936953443824436
"8",0.915942701547189,"Tekmar",154,0.0048582771161267
"9",0.915898146820348,"Narec",250,0.00788681350020569
"10",0.903589256613141,"…",105,0.00331246167008639
"11",0.879620021980532,"•",254,0.00801300251620898
"12",0.829399092617376,"REpower",120,0.00378567048009873
"13",0.785514381457915,"AREVA",103,0.00324936716208474
"14",0.779937321074932,"ZephIR",186,0.00586778924415303
"15",0.772957347843582,"Esvagt",149,0.00470054084612259
"16",0.717854420482919,"Bibby",131,0.00413269027410778
"17",0.701789528105344,"Atlantis",132,0.0041642375281086
"18",0.693655784176293,"Ampelmann",125,0.00394340675010284
"19",0.663807315121022,"TWh",111,0.00350174519409133
"20",0.652526403941796,"Vesterhav",104,0.00328091441608557
"21",0.649414376573407,"Acta",101,0.0031862726540831
"22",0.64203656459134,"Gamesa",356,0.0112308224242929
"23",0.60879573596783,"MPI",208,0.00656182883217113
"24",0.59133871999791,"WindFloat",140,0.00441661556011519
"25",0.582471089877226,"Forewind",146,0.00460589908412012
"26",0.575470946178737,"DeepOcean",135,0.00425887929011107
"27",0.565484154898453,"Vroon",130,0.00410114302010696
"28",0.5621133159938,"Ofgem",256,0.00807609702421062
"29",0.548322173315424,"Trianel",155,0.00488982437012753
"30",0.547352506895212,"Fugro",323,0.0101897630422657
"31",0.540340958306334,"Nordic",122,0.00384876498810038
"32",0.535675700351113,"Virginia",202,0.0063725453081662
"33",0.529224593203682,"Ulstein",259,0.00817073878621309
"34",0.527065457817575,"Alstom",316,0.00996893226425999
"35",0.526745194909436,"Seajacks",165,0.00520529691013575
"36",0.517630969960324,"Aeolus",123,0.0038803122421012
"37",0.512714703838085,"Up",139,0.00438506830611436
"38",0.492704238735432,"Nordsee",170,0.00536303318013987
"39",0.490260899268858,"bearing",156,0.00492137162412835
"40",0.487967232598804,"GMS(L",243,0.00766598272219993
"41",0.48205131135742,"DolWin",150,0.00473208810012341
"42",0.480215077358409,"Ost",155,0.00488982437012753
"43",0.48018361500941,"Elia",150,0.00473208810012341
"44",0.480083428207957,"kWh",116,0.00365948146409544
"45",0.473438786545205,"MV",148,0.00466899359212177
"46",0.46974830788104,"Heerema",132,0.0041642375281086
"47",0.46841911288522,"X",153,0.00482672986212588
"48",0.467829906548513,"Carolina",121,0.00381721773409955
"49",0.467704767617754,"Humber",210,0.00662492334017278
"50",0.466592441753546,"Damen",414,0.0130605631563406
"51",0.464803637264452,"Boats",126,0.00397495400410367
"52",0.460969946110824,"Bladt",128,0.00403804851210531
"53",0.457711066200954,"Vestas",496,0.0156474379844081
"54",0.455021402615153,"Grimsby",220,0.00694039588018101
"55",0.452466154708842,"Nexans",342,0.0107891608682814
"56",0.450541226586774,"Senvion",252,0.00794990800820733
"57",0.450108193144593,"3D",222,0.00700349038818265
"58",0.449919187759872,"E",101,0.0031862726540831
"59",0.44839997918429,"California",104,0.00328091441608557
"60",0.447271663228659,"Alpha",220,0.00694039588018101
"61",0.446963720443553,"A2SEA",307,0.00968500697825258
"62",0.438056870148963,"province",130,0.00410114302010696
"63",0.435955609412527,"™",187,0.00589933649815385
"64",0.43311115933419,"metocean",123,0.0038803122421012
"65",0.432504692236552,"Hywind",185,0.00583624199015221
"66",0.431174288383409,"Eneco",186,0.00586778924415303
"67",0.428606720147107,"Ports",125,0.00394340675010284
"68",0.423846587632801,"leasing",148,0.00466899359212177
"69",0.423067511582623,"Lidar",137,0.00432197379811272
"70",0.42055537055749,"Cape",255,0.0080445497702098
"71",0.418683789399179,"Fred",327,0.010315952058269
"72",0.415865030247633,"Blue",170,0.00536303318013987
"73",0.415324644967272,"One",506,0.0159629105244163
"74",0.413477776730599,"Installer",108,0.00340710343208886
"75",0.41345808807063,"WIND",161,0.00507910789413246
"76",0.412627930485353,"Cuxhaven",101,0.0031862726540831
"77",0.408810684215342,"Forum",102,0.00321781990808392
"78",0.407230139500119,"radar",172,0.00542612768814151
"79",0.405569074655114,"Olsen",145,0.0045743518301193
"80",0.404828927169965,"buoy",343,0.0108207081222822
"81",0.404221800840707,"Hub",131,0.00413269027410778
"82",0.403350255635929,"lidar",151,0.00476363535412424
"83",0.403225378199949,"turbulence",123,0.0038803122421012
"84",0.403140311715632,"Workboats",112,0.00353329244809215
"85",0.402888140992274,"GL",611,0.0192753721945027
"86",0.402617000678468,"Three",185,0.00583624199015221
"87",0.401639173828839,"BorWin",103,0.00324936716208474
"88",0.401485455226828,"V",101,0.0031862726540831
