index,word
1,turbine
2,blade
3,foundation
4,mono_piles
5,Jacket
6,ROV
7,cable
8,cable_laying
9,inspection
10,operation_and_maintenance
12,drone
13,grid
14,ocorrosion
15,monitor
16,crew_transfer_vessel
18,service_operation_vessel
22,installation
23,sonar
24,protection
25,seabed
26,AUV
27,training
28,underwater
29,maritime
30,technology
31,rock_dumping
32,system
33,testing
34,survey
